profile_id,sector,temperature_c,humidity_percent,load_multiplier,unit,source,provenance,confidence,method,assumptions,date_or_year
hk_cooling_mild,residential,22,65,0.96,load multiplier,Hong Kong cooling-load engineering sensitivity anchored to sector calibration,synthetic_engineering_default,0.44,temperature_humidity_multiplier,Multiplier is illustrative until public weather-normalized feeder data is available.,2026
hk_cooling_hot,residential,30,78,1.10,load multiplier,Hong Kong cooling-load engineering sensitivity anchored to sector calibration,synthetic_engineering_default,0.44,temperature_humidity_multiplier,Residential cooling demand rises in hot humid evening conditions.,2026
hk_cooling_mild,commercial,22,65,0.94,load multiplier,Hong Kong cooling-load engineering sensitivity anchored to sector calibration,synthetic_engineering_default,0.46,temperature_humidity_multiplier,Multiplier is illustrative until public weather-normalized feeder data is available.,2026
hk_cooling_hot,commercial,30,78,1.16,load multiplier,Hong Kong cooling-load engineering sensitivity anchored to sector calibration,synthetic_engineering_default,0.46,temperature_humidity_multiplier,Commercial cooling demand rises strongly in hot humid daytime conditions.,2026
hk_cooling_mild,industrial,22,65,0.98,load multiplier,Hong Kong cooling-load engineering sensitivity anchored to sector calibration,synthetic_engineering_default,0.42,temperature_humidity_multiplier,Industrial process and port loads are less weather-sensitive than building cooling loads.,2026
hk_cooling_hot,industrial,30,78,1.07,load multiplier,Hong Kong cooling-load engineering sensitivity anchored to sector calibration,synthetic_engineering_default,0.42,temperature_humidity_multiplier,Industrial process and port loads are less weather-sensitive than building cooling loads.,2026
hk_cooling_mild,transport_or_public_services,22,65,0.99,load multiplier,Hong Kong cooling-load engineering sensitivity anchored to sector calibration,synthetic_engineering_default,0.40,temperature_humidity_multiplier,Transport load is driven more by schedules than weather with some station cooling uplift.,2026
hk_cooling_hot,transport_or_public_services,30,78,1.05,load multiplier,Hong Kong cooling-load engineering sensitivity anchored to sector calibration,synthetic_engineering_default,0.40,temperature_humidity_multiplier,Transport load is driven more by schedules than weather with some station cooling uplift.,2026
hk_cooling_mild,data_center,22,65,0.99,load multiplier,Data-center cooling engineering sensitivity,synthetic_engineering_default,0.36,temperature_humidity_multiplier,Data-center weather response is modest because IT load is near-flat and cooling systems are controlled.,2026
hk_cooling_hot,data_center,30,78,1.04,load multiplier,Data-center cooling engineering sensitivity,synthetic_engineering_default,0.36,temperature_humidity_multiplier,Data-center weather response is modest because IT load is near-flat and cooling systems are controlled.,2026
