energy_source,variable_cost_usd_per_mwh,startup_cost_usd,availability_factor,forced_outage_rate,co2_t_per_mwh,pmin_fraction,ramp_rate_mw_per_min,unit,source,provenance,confidence,method,assumptions,date_or_year
coal,26,150000,0.86,0.08,0.90,0.20,20,USD/MWh USD fraction tCO2/MWh MW/min,Public Hong Kong thermal fuel mix context plus generic thermal generator engineering defaults,synthetic_engineering_default,0.48,fuel_class_default_lookup,Coal is dispatchable with higher emissions and slower flexibility; replace with plant heat-rate data when available.,2026
gas,22,90000,0.90,0.06,0.40,0.10,35,USD/MWh USD fraction tCO2/MWh MW/min,Public Hong Kong thermal fuel mix context plus generic CCGT/OCGT engineering defaults,synthetic_engineering_default,0.50,fuel_class_default_lookup,Gas is dispatchable and more flexible than coal; replace with plant heat-rate data when available.,2026
nuclear,12,250000,0.92,0.04,0.02,0.50,5,USD/MWh USD fraction tCO2/MWh MW/min,Public nuclear import context plus generic nuclear availability defaults,synthetic_engineering_default,0.44,fuel_class_default_lookup,Nuclear/import-equivalent energy is modeled as high-availability low-variable-cost supply.,2026
solar,2,0,0.18,0.02,0.00,0.00,999,USD/MWh USD fraction tCO2/MWh MW/min,Generic solar PV engineering defaults for non-dispatchable renewable output,synthetic_engineering_default,0.42,fuel_class_default_lookup,Solar availability is annualized; future solvers should use time-varying profiles.,2026
wind,2,0,0.28,0.04,0.00,0.00,999,USD/MWh USD fraction tCO2/MWh MW/min,Generic wind engineering defaults for non-dispatchable renewable output,synthetic_engineering_default,0.42,fuel_class_default_lookup,Wind availability is annualized; future solvers should use time-varying profiles.,2026
waste,18,60000,0.78,0.08,0.55,0.20,10,USD/MWh USD fraction tCO2/MWh MW/min,Generic waste-to-energy engineering defaults,synthetic_engineering_default,0.42,fuel_class_default_lookup,Waste-to-energy treated as dispatchable thermal plant with moderate cost and emissions.,2026
unknown,24,80000,0.80,0.10,0.55,0.10,15,USD/MWh USD fraction tCO2/MWh MW/min,Conservative unknown-source generator default,synthetic_engineering_default,0.30,fuel_class_default_lookup,Used only when OSM/public tags do not identify generator source.,2026
territory_equivalent_import_or_local_supply,20,0,0.88,0.05,0.45,0.00,50,USD/MWh USD fraction tCO2/MWh MW/min,Public peak-demand capacity equivalent for CLP service territory plus synthetic supply cost default,synthetic_engineering_default,0.35,equivalent_supply_class_default,Equivalent supply is a modeling device for sparse topology and not a real generator unit.,2026
island_local_supply_equivalent,24,0,0.86,0.06,0.50,0.00,45,USD/MWh USD fraction tCO2/MWh MW/min,Public peak-demand capacity equivalent for HK Electric territory plus synthetic supply cost default,synthetic_engineering_default,0.35,equivalent_supply_class_default,Equivalent supply is a modeling device for sparse topology and not a real generator unit.,2026
generic_capacity_equivalent,30,0,0.75,0.12,0.60,0.00,30,USD/MWh USD fraction tCO2/MWh MW/min,Generic fallback capacity-equivalent engineering default,synthetic_engineering_default,0.25,equivalent_supply_class_default,Used only when a load-bearing island has no identified service territory.,2026
