dispatch_priority,energy_source,cost_class,unit,source,provenance,confidence,method,assumptions,date_or_year
1,solar,low_variable_cost_renewable,priority,Renewable zero-fuel-cost engineering merit order,synthetic_engineering_default,0.42,fuel_class_merit_order,Solar is treated as low-cost non-dispatchable energy; availability is separate.,2026
2,wind,low_variable_cost_renewable,priority,Renewable zero-fuel-cost engineering merit order,synthetic_engineering_default,0.42,fuel_class_merit_order,Wind is treated as low-cost non-dispatchable energy; availability is separate.,2026
3,nuclear,low_variable_cost_import_or_nuclear,priority,Public nuclear import context plus synthetic merit order,synthetic_engineering_default,0.44,fuel_class_merit_order,Nuclear/import-equivalent supply is lower variable cost than fossil generation.,2026
4,territory_equivalent_import_or_local_supply,territory_equivalent_import_or_local_supply,priority,Synthetic territory capacity-equivalent merit order,synthetic_engineering_default,0.35,equivalent_supply_merit_order,Equivalent supply is ordered between low-cost imports and local thermal defaults.,2026
5,gas,thermal_gas,priority,Thermal generator engineering merit order,synthetic_engineering_default,0.50,fuel_class_merit_order,Gas is modeled ahead of coal on emissions and flexibility grounds.,2026
6,island_local_supply_equivalent,island_local_supply_equivalent,priority,Synthetic island supply-equivalent merit order,synthetic_engineering_default,0.35,equivalent_supply_merit_order,Equivalent supply is a modeling device for sparse topology and not a real unit.,2026
7,coal,thermal_coal,priority,Thermal generator engineering merit order,synthetic_engineering_default,0.48,fuel_class_merit_order,Coal is modeled after gas because of higher emissions and slower flexibility.,2026
8,waste,waste_to_energy,priority,Waste-to-energy engineering merit order,synthetic_engineering_default,0.42,fuel_class_merit_order,Waste-to-energy is dispatchable but not treated as primary low-cost supply.,2026
9,unknown,generic_dispatchable,priority,Conservative unknown-source merit order,synthetic_engineering_default,0.30,fuel_class_merit_order,Unknown generators are deliberately placed late in the merit order.,2026
10,generic_capacity_equivalent,generic_capacity_equivalent,priority,Generic fallback merit order,synthetic_engineering_default,0.25,equivalent_supply_merit_order,Fallback equivalent capacity is used only to keep sparse islands solvable.,2026
