primary_kv,secondary_kv,facility_class,sn_mva_default,x_pu,r_pu,unit,source,provenance,confidence,method,assumptions,date_or_year
400,275,ehv_autotransformer,1000,0.08,0.003,MW/MVA and pu,Public Hong Kong EHV voltage classes plus conservative transformer engineering defaults,synthetic_engineering_default,0.54,nearest_voltage_pair_facility_lookup,"Autotransformer default for same-grid EHV voltage conversion where no public rating tag is available.",2026
400,132,ehv_substation,750,0.10,0.005,MW/MVA and pu,CLP public 400/132 kV network class plus conservative grid transformer defaults,synthetic_engineering_default,0.58,nearest_voltage_pair_facility_lookup,"EHV/HV substations use large transformer defaults; replace with OSM rating or public equipment data when available.",2026
275,132,ehv_substation,500,0.09,0.005,MW/MVA and pu,HK Electric public 275/132 kV network class plus conservative grid transformer defaults,synthetic_engineering_default,0.58,nearest_voltage_pair_facility_lookup,"EHV/HV substations use large transformer defaults; replace with OSM rating or public equipment data when available.",2026
220,110,ehv_substation,360,0.09,0.005,MW/MVA and pu,Regional public transmission voltage practice plus conservative grid transformer defaults,synthetic_engineering_default,0.48,nearest_voltage_pair_facility_lookup,"Regional/GBA fallback for 220/110 kV voltage-pair conversion.",2026
132,110,hv_autotransformer,300,0.06,0.004,MW/MVA and pu,Regional public transmission voltage practice plus conservative autotransformer defaults,synthetic_engineering_default,0.46,nearest_voltage_pair_facility_lookup,"Autotransformer default for close HV voltage classes where no public rating tag is available.",2026
132,33,hv_substation,120,0.10,0.006,MW/MVA and pu,Public Hong Kong 132 kV and 33 kV classes plus conservative substation transformer defaults,synthetic_engineering_default,0.52,nearest_voltage_pair_facility_lookup,"HV/subtransmission substations use smaller defaults than EHV grid supply points.",2026
132,11,hv_distribution,80,0.10,0.007,MW/MVA and pu,Public Hong Kong 132 kV and 11 kV classes plus conservative distribution transformer defaults,synthetic_engineering_default,0.50,nearest_voltage_pair_facility_lookup,"Used for inferred direct HV-to-distribution conversions in sparse OSM topology.",2026
33,11,distribution_substation,20,0.06,0.008,MW/MVA and pu,Public Hong Kong 33/11 kV distribution classes plus conservative distribution transformer defaults,synthetic_engineering_default,0.50,nearest_voltage_pair_facility_lookup,"Distribution transformer default for feeder-level modeling where equipment ratings are unavailable.",2026
22,11,distribution_substation,15,0.06,0.008,MW/MVA and pu,HK Electric public 22/11 kV distribution class plus conservative distribution transformer defaults,synthetic_engineering_default,0.50,nearest_voltage_pair_facility_lookup,"Distribution transformer default for feeder-level modeling where equipment ratings are unavailable.",2026
11,0.4,distribution_service,1.5,0.045,0.010,MW/MVA and pu,Public low-voltage service transformer engineering default,synthetic_engineering_default,0.38,nearest_voltage_pair_facility_lookup,"Low-voltage service transformer placeholder; not intended for transmission studies.",2026
