primary_kv,secondary_kv,facility_class,tap_side,tap_neutral,tap_min,tap_max,tap_step_percent,unit,source,provenance,confidence,method,assumptions,date_or_year
400,275,ehv_autotransformer,primary,1.0,0.95,1.05,1.25,pu and percent,Conservative transformer tap engineering defaults,synthetic_engineering_default,0.46,nearest_voltage_pair_facility_lookup,"Neutral tap is used for the base model; range documents future voltage-control assumptions.",2026
400,132,ehv_substation,primary,1.0,0.90,1.10,1.25,pu and percent,Conservative transformer tap engineering defaults,synthetic_engineering_default,0.50,nearest_voltage_pair_facility_lookup,"Neutral tap is used for the base model; range documents future voltage-control assumptions.",2026
275,132,ehv_substation,primary,1.0,0.90,1.10,1.25,pu and percent,Conservative transformer tap engineering defaults,synthetic_engineering_default,0.50,nearest_voltage_pair_facility_lookup,"Neutral tap is used for the base model; range documents future voltage-control assumptions.",2026
220,110,ehv_substation,primary,1.0,0.90,1.10,1.25,pu and percent,Conservative transformer tap engineering defaults,synthetic_engineering_default,0.44,nearest_voltage_pair_facility_lookup,"Regional/GBA fallback; neutral tap is used for the base model.",2026
132,110,hv_autotransformer,primary,1.0,0.95,1.05,1.25,pu and percent,Conservative transformer tap engineering defaults,synthetic_engineering_default,0.42,nearest_voltage_pair_facility_lookup,"Autotransformer tap range is narrower than two-winding defaults.",2026
132,33,hv_substation,primary,1.0,0.90,1.10,1.25,pu and percent,Conservative transformer tap engineering defaults,synthetic_engineering_default,0.48,nearest_voltage_pair_facility_lookup,"Neutral tap is used for the base model; range documents future voltage-control assumptions.",2026
132,11,hv_distribution,primary,1.0,0.90,1.10,1.25,pu and percent,Conservative transformer tap engineering defaults,synthetic_engineering_default,0.46,nearest_voltage_pair_facility_lookup,"Used for inferred direct HV-to-distribution conversions in sparse OSM topology.",2026
33,11,distribution_substation,primary,1.0,0.90,1.10,2.50,pu and percent,Conservative distribution transformer tap engineering defaults,synthetic_engineering_default,0.46,nearest_voltage_pair_facility_lookup,"Distribution tap step is coarser than EHV defaults; neutral tap is used for base export.",2026
22,11,distribution_substation,primary,1.0,0.90,1.10,2.50,pu and percent,Conservative distribution transformer tap engineering defaults,synthetic_engineering_default,0.46,nearest_voltage_pair_facility_lookup,"Distribution tap step is coarser than EHV defaults; neutral tap is used for base export.",2026
11,0.4,distribution_service,primary,1.0,0.95,1.05,2.50,pu and percent,Conservative low-voltage service transformer tap default,synthetic_engineering_default,0.36,nearest_voltage_pair_facility_lookup,"Low-voltage service transformer placeholder; not intended for transmission studies.",2026
