Year,Air Conditioning (Unit : Terajoule),Air Conditioning Percentage (%),Lighting (Unit : Terajoule),Lighting Percentage (%),Refrigeration (Unit : Terajoule),Refrigeration Percentage (%),Industrial Process/ Equipment (Unit : Terajoule),Industrial Process/ Equipment Percentage (%),Cooking (Unit : Terajoule),Cooking Percentage (%),Hot Water (Unit : Terajoule),Hot Water Percentage (%),Office Equipment (Unit : Terajoule),Office Equipment Percentage (%),Vertical Transport (Unit : Terajoule),Vertical Transport Percentage (%),Others (Unit : Terajoule),Others Percentage (%)
2013,41867,27,16666,11,6756,4,8699,6,11923,8,5072,3,11015,7,,,51364,33
2014,45208,29,16244,10,6411,4,8733,6,12830,8,5849,4,10760,7,,,52113,33
2015,45108,28,15913,10,5688,4,8820,6,13599,9,6179,4,10285,6,,,52788,33
2016,44384,28,15281,10,5152,3,7918,5,14652,9,7009,4,9890,6,,,54555,34
2017,44317,28,14946,9,4558,3,7552,5,15594,10,7300,5,9419,6,10272,7,44019,28
2018,46359,29,15264,10,4674,3,7236,5,15942,10,7559,5,9574,6,9894,6,42993,27
2019,46500,29,15141,9,4934,3,6487,4,15182,9,7319,5,9617,6,9244,6,47247,29
2020,47321,30,14977,9,5201,3,5832,4,13336,8,7106,4,9646,6,9072,6,46610,29
2021,48702,30,15351,9,5474,3,5534,3,14839,9,7259,4,9696,6,9227,6,48846,30
2022,47646,30,15377,10,6503,4,5154,3,14330,9,6022,4,9474,6,8538,5,48454,30
2023,49077,30,15628,10,6477,4,5252,3,15513,9,6047,4,9651,6,8837,5,47413,29
